ISIN,DAYS,EVENT,DATE,FIX_RATE,CPN_RATE,PERIOD,COUPON,PRINCIPAL,CASH_FLOW,AMORTIZED_COST_OPEN,AMORTIZED_COST_CLOSE,COLLECTED_INTEREST,DIFF_VS_REAL
ARTANA5600C8,0,purchase,2017-01-02,0,0,0,0,0,-46463333,46463333,46463333,0,0
ARTANA5600C8,84,coupon,2017-03-27,0.1975,0.2374,0.246575342465753,2719823.48733699,0,2719823.48733699,46463333,46463333,0,0
ARTANA5600C8,92,coupon,2017-06-27,0.193125,0.233025,0.252054794520548,2729027.04617507,0,2729027.04617507,46463333,46463333,0,0
ARTANA5600C8,92,coupon,2017-09-27,0.19875,0.23865,0.252054794520548,2794903.14159288,0,2794903.14159288,46463333,46463333,0,0
ARTANA5600C8,91,coupon,2017-12-27,0.215,0.2549,0.249315068493151,2952763.90667041,0,2952763.90667041,46463333,46463333,0,0
ARTANA5600C8,90,coupon,2018-03-27,0.23,0.2699,0.246575342465753,3092166.63535069,0,3092166.63535069,46463333,46463333,0,0
ARTANA5600C8,92,coupon,2018-06-27,0.225625,0.265525,0.252054794520548,3109644.48636685,0,3109644.48636685,46463333,46463333,0,0
ARTANA5600C8,92,coupon,2018-09-27,0.225625,0.265525,0.252054794520548,3109644.48636685,0,3109644.48636685,46463333,46463333,0,0
ARTANA5600C8,91,coupon,2018-12-27,0.225625,0.265525,0.249315068493151,3075844.00281938,0,3075844.00281938,46463333,46463333,0,0
ARTANA5600C8,90,coupon,2019-03-27,0.225625,0.265525,0.246575342465753,3042043.51927192,0,3042043.51927192,46463333,46463333,0,0
ARTANA5600C8,92,coupon,2019-06-27,0.225625,0.265525,0.252054794520548,3109644.48636685,0,3109644.48636685,46463333,46463333,0,0
ARTANA5600C8,92,coupon,2019-09-27,0.225625,0.265525,0.252054794520548,3109644.48636685,0,3109644.48636685,46463333,46463333,0,0
ARTANA5600C8,91,coupon,2019-12-27,0.225625,0.265525,0.249315068493151,3075844.00281938,0,3075844.00281938,46463333,46463333,0,0
ARTANA5600C8,91,coupon,2020-03-27,0.225625,0.265525,0.249315068493151,3075844.00281938,0,3075844.00281938,46463333,46463333,0,0
ARTANA5600C8,92,coupon,2020-06-27,0.225625,0.265525,0.252054794520548,3109644.48636685,0,3109644.48636685,46463333,46463333,0,0
ARTANA5600C8,92,coupon,2020-09-27,0.225625,0.265525,0.252054794520548,3109644.48636685,46463333,49572977.4863669,46463333,0,-46463333,-49572977.4863669
ISIN,DAYS,EVENT,DATE,FIX_RATE,CPN_RATE,PERIOD,COUPON,PRINCIPAL,CASH_FLOW,AMORTIZED_COST_OPEN,AMORTIZED_COST_CLOSE,COLLECTED_INTEREST,DIFF_VS_REAL
ARROBE560051,0,purchase,2017-12-07,0,0,0,0,0,-50000000,50000000,50000000,0,0
ARROBE560051,182,coupon,2018-06-07,0.25125,0.28625,0.498630136986301,7136643.83561644,0,7136643.83561644,50000000,50000000,0,0
ARROBE560051,183,coupon,2018-12-07,0.223125,0.258125,0.501369863013699,6470804.79452055,0,6470804.79452055,50000000,50000000,0,0
ARROBE560051,182,coupon,2019-06-07,0.223125,0.258125,0.498630136986301,6435445.20547945,0,6435445.20547945,50000000,50000000,0,0
ARROBE560051,183,coupon,2019-12-07,0.223125,0.258125,0.501369863013699,6470804.79452055,0,6470804.79452055,50000000,50000000,0,0
ARROBE560051,183,coupon,2020-06-07,0.223125,0.258125,0.501369863013699,6470804.79452055,0,6470804.79452055,50000000,50000000,0,0
ARROBE560051,183,coupon,2020-12-07,0.223125,0.258125,0.501369863013699,6470804.79452055,50000000,56470804.7945205,50000000,0,-50000000,-56470804.7945205
ISIN,DAYS,EVENT,DATE,FIX_RATE,CPN_RATE,PERIOD,COUPON,PRINCIPAL,CASH_FLOW,AMORTIZED_COST_OPEN,AMORTIZED_COST_CLOSE,COLLECTED_INTEREST,DIFF_VS_REAL
ARARGE3204M0,0,purchase,2017-06-21,0,0,0,0,0,-170000000,170000000,170000000,0,0
ARARGE3204M0,92,coupon,2017-09-21,0.2625,0.2625,0.252054794520548,11247945.2054795,0,11247945.2054795,170000000,170000000,0,0
ARARGE3204M0,91,coupon,2017-12-21,0.2625,0.2625,0.249315068493151,11125684.9315068,0,11125684.9315068,170000000,170000000,0,0
ARARGE3204M0,90,coupon,2018-03-21,0.2875,0.2875,0.246575342465753,12051369.8630137,0,12051369.8630137,170000000,170000000,0,0
ARARGE3204M0,92,coupon,2018-06-21,0.2725,0.2725,0.252054794520548,11676438.3561644,0,11676438.3561644,170000000,170000000,0,0
ARARGE3204M0,92,coupon,2018-09-21,0.2725,0.2725,0.252054794520548,11676438.3561644,0,11676438.3561644,170000000,170000000,0,0
ARARGE3204M0,91,coupon,2018-12-21,0.2725,0.2725,0.249315068493151,11549520.5479452,0,11549520.5479452,170000000,170000000,0,0
ARARGE3204M0,90,coupon,2019-03-21,0.2725,0.2725,0.246575342465753,11422602.739726,0,11422602.739726,170000000,170000000,0,0
ARARGE3204M0,92,coupon,2019-06-21,0.2725,0.2725,0.252054794520548,11676438.3561644,0,11676438.3561644,170000000,170000000,0,0
ARARGE3204M0,92,coupon,2019-09-21,0.2725,0.2725,0.252054794520548,11676438.3561644,0,11676438.3561644,170000000,170000000,0,0
ARARGE3204M0,91,coupon,2019-12-21,0.2725,0.2725,0.249315068493151,11549520.5479452,0,11549520.5479452,170000000,170000000,0,0
ARARGE3204M0,91,coupon,2020-03-21,0.2725,0.2725,0.249307582902912,11549173.7779774,0,11549173.7779774,170000000,170000000,0,0
ARARGE3204M0,92,coupon,2020-06-21,0.2725,0.2725,0.252054794520548,11676438.3561644,170000000,181676438.356164,170000000,0,-170000000,-181676438.356164
