ISSUER,ID_SURA,CPN,MATURITY,CURRENCY,INDUSTRY_GROUP,SHARES,PURCHASE_DATE,PURCHASE_YTM,COST_MO,COST_ARS,PRICE_MO,PRICE_ARS,MARKET_VAL_MO,MARKET_VAL_ARS,MARKET_VAL_USD,YTM,MD
TARJETA NARANJA SA,Tarjeta Naranja - T352O,BADLARPP + 3.99,2020-09-27,ARS,Diversified Finan Serv,46463333,2017-01-02,,0,0,99.344,99.344,46158533.53552,46158533.53552,2478550.06312127,27.712,1.879
HSBC BANK ARGENTINA SA,O.N. HSBC Clase 7 Sura,ARDRARPP + 3.5,2020-12-07,ARS,Banks,50000000,2017-12-07,0.25645,0,0,101.503,101.503,50751500,50751500,2725176.12440397,27.139,1.914
REPUBLIC OF ARGENTINA,Bonte 2020 Sura,ARPP7DRR + 0,2020-06-21,ARS,Sovereign,170000000,2017-06-21,0.22125,0,0,107.7,107.7,183090000,183090000,9831285.70814897,24.912,1.753
